Date: 20180416, number of symbols: 1065, valid ones: 1065
Date: 20180417, number of symbols: 3950, valid ones: 3950
Date: 20180418, number of symbols: 3959, valid ones: 3959
Date: 20180419, number of symbols: 3900, valid ones: 3900
Date: 20180420, number of symbols: 3854, valid ones: 3854
Date: 20180423, number of symbols: 3869, valid ones: 3869
Date: 20180424, number of symbols: 3961, valid ones: 3961
Date: 20180425, number of symbols: 3886, valid ones: 3886
Date: 20180426, number of symbols: 5393, valid ones: 4517
Date: 20180427, number of symbols: 5393, valid ones: 4485
Date: 20180430, number of symbols: 4778, valid ones: 3964
Date: 20180501, number of symbols: 4626, valid ones: 3837
Date: 20180502, number of symbols: 4606, valid ones: 3847
Date: 20180503, number of symbols: 4603, valid ones: 3850
Date: 20180504, number of symbols: 4877, valid ones: 4098
Date: 20180507, number of symbols: 4319, valid ones: 3550
Date: 20180508, number of symbols: 4843, valid ones: 4076
Date: 20180509, number of symbols: 4680, valid ones: 3923
Date: 20180510, number of symbols: 3997, valid ones: 3345
Date: 20180511, number of symbols: 1779, valid ones: 1507
Date: 20180514, number of symbols: 2792, valid ones: 2379
Date: 20180515, number of symbols: 4709, valid ones: 3965
Date: 20180516, number of symbols: 4755, valid ones: 4007
Date: 20180517, number of symbols: 4804, valid ones: 4089
Date: 20180518, number of symbols: 4877, valid ones: 4125
Date: 20180521, number of symbols: 4814, valid ones: 4091
Date: 20180522, number of symbols: 4887, valid ones: 4174
Date: 20180523, number of symbols: 3840, valid ones: 3174
Date: 20180524, number of symbols: 5396, valid ones: 4562
Date: 20180525, number of symbols: 4876, valid ones: 4084
Date: 20180529, number of symbols: 4712, valid ones: 3912
Date: 20180530, number of symbols: 3626, valid ones: 3052
Date: 20180531, number of symbols: 5449, valid ones: 4621
Date: 20180601, number of symbols: 4934, valid ones: 4180
Date: 20180604, number of symbols: 4922, valid ones: 4177
Date: 20180605, number of symbols: 4848, valid ones: 4146
Date: 20180606, number of symbols: 4857, valid ones: 4189
Date: 20180607, number of symbols: 4791, valid ones: 4081
Date: 20180608, number of symbols: 4952, valid ones: 4180
Date: 20180611, number of symbols: 4844, valid ones: 4082
Date: 20180612, number of symbols: 4881, valid ones: 4157
Date: 20180613, number of symbols: 4812, valid ones: 4040
Date: 20180614, number of symbols: 4308, valid ones: 3622
Date: 20180615, number of symbols: 4783, valid ones: 4046
Date: 20180618, number of symbols: 4899, valid ones: 4172
Date: 20180619, number of symbols: 4876, valid ones: 4170
Date: 20180620, number of symbols: 4788, valid ones: 4081
Date: 20180621, number of symbols: 4918, valid ones: 4159
Date: 20180622, number of symbols: 4975, valid ones: 4233
Date: 20180625, number of symbols: 4368, valid ones: 3659
Date: 20180626, number of symbols: 4898, valid ones: 4177
Date: 20180627, number of symbols: 4981, valid ones: 4218
Date: 20180628, number of symbols: 4578, valid ones: 3873
Date: 20180629, number of symbols: 4704, valid ones: 3960
Date: 20180702, number of symbols: 4880, valid ones: 4136
Date: 20180703, number of symbols: 4474, valid ones: 3678
Date: 20180705, number of symbols: 4192, valid ones: 3423
Date: 20180706, number of symbols: 5556, valid ones: 4667
Date: 20180709, number of symbols: 4639, valid ones: 3878
Date: 20180710, number of symbols: 5036, valid ones: 4312
Date: 20180711, number of symbols: 3865, valid ones: 3211
Date: 20180712, number of symbols: 5418, valid ones: 4545
Date: 20180713, number of symbols: 5556, valid ones: 4620
Date: 20180716, number of symbols: 5167, valid ones: 4328
Date: 20180717, number of symbols: 4977, valid ones: 4175
Date: 20180718, number of symbols: 4937, valid ones: 4110
Date: 20180719, number of symbols: 4109, valid ones: 3395
Date: 20180720, number of symbols: 5192, valid ones: 4345
Date: 20180723, number of symbols: 4960, valid ones: 4109
Date: 20180724, number of symbols: 3953, valid ones: 3266
Date: 20180725, number of symbols: 1832, valid ones: 1619
Date: 20180726, number of symbols: 4832, valid ones: 3994
Date: 20180727, number of symbols: 4931, valid ones: 4053
Date: 20180730, number of symbols: 4656, valid ones: 3802
Date: 20180731, number of symbols: 4821, valid ones: 3964
Date: 20180801, number of symbols: 4937, valid ones: 4105
Date: 20180802, number of symbols: 3684, valid ones: 2986
Date: 20180803, number of symbols: 1610, valid ones: 1366
Date: 20180806, number of symbols: 4936, valid ones: 4110
Date: 20180807, number of symbols: 4907, valid ones: 4031
Date: 20180808, number of symbols: 5012, valid ones: 4181
Date: 20180809, number of symbols: 3863, valid ones: 3155
Date: 20180810, number of symbols: 5589, valid ones: 4606
Date: 20180813, number of symbols: 4909, valid ones: 4041
Date: 20180814, number of symbols: 5137, valid ones: 4245
Date: 20180815, number of symbols: 3503, valid ones: 2903
Date: 20180816, number of symbols: 5609, valid ones: 4690
Date: 20180817, number of symbols: 5077, valid ones: 4236
Date: 20180820, number of symbols: 4048, valid ones: 3318
