Date: 20180416, number of symbols: 239, valid ones: 239
Date: 20180417, number of symbols: 1334, valid ones: 1334
Date: 20180418, number of symbols: 1334, valid ones: 1334
Date: 20180419, number of symbols: 1334, valid ones: 1334
Date: 20180420, number of symbols: 1334, valid ones: 1334
Date: 20180423, number of symbols: 1334, valid ones: 1334
Date: 20180424, number of symbols: 1334, valid ones: 1334
Date: 20180425, number of symbols: 1333, valid ones: 1333
Date: 20180426, number of symbols: 1333, valid ones: 1333
Date: 20180427, number of symbols: 1326, valid ones: 1326
Date: 20180430, number of symbols: 1326, valid ones: 1326
Date: 20180501, number of symbols: 1326, valid ones: 1326
Date: 20180502, number of symbols: 1326, valid ones: 1326
Date: 20180503, number of symbols: 1325, valid ones: 1325
Date: 20180504, number of symbols: 1325, valid ones: 1325
Date: 20180507, number of symbols: 1325, valid ones: 1325
Date: 20180508, number of symbols: 1325, valid ones: 1325
Date: 20180509, number of symbols: 1325, valid ones: 1325
Date: 20180510, number of symbols: 1325, valid ones: 1324
Date: 20180511, number of symbols: 1325, valid ones: 444
Date: 20180514, number of symbols: 1325, valid ones: 423
Date: 20180515, number of symbols: 1325, valid ones: 1325
Date: 20180516, number of symbols: 1324, valid ones: 1324
Date: 20180517, number of symbols: 1323, valid ones: 1323
Date: 20180518, number of symbols: 1323, valid ones: 1323
Date: 20180521, number of symbols: 1323, valid ones: 1323
Date: 20180522, number of symbols: 1323, valid ones: 1323
Date: 20180523, number of symbols: 1323, valid ones: 1323
Date: 20180524, number of symbols: 1322, valid ones: 1312
Date: 20180525, number of symbols: 1322, valid ones: 1322
Date: 20180529, number of symbols: 1322, valid ones: 1322
Date: 20180530, number of symbols: 1321, valid ones: 1321
Date: 20180531, number of symbols: 1320, valid ones: 1310
Date: 20180601, number of symbols: 1319, valid ones: 1319
Date: 20180604, number of symbols: 1319, valid ones: 1319
Date: 20180605, number of symbols: 1317, valid ones: 1317
Date: 20180606, number of symbols: 1317, valid ones: 1317
Date: 20180607, number of symbols: 1316, valid ones: 1316
Date: 20180608, number of symbols: 1316, valid ones: 1316
Date: 20180611, number of symbols: 1316, valid ones: 1315
Date: 20180612, number of symbols: 1316, valid ones: 1316
Date: 20180613, number of symbols: 1316, valid ones: 1316
Date: 20180614, number of symbols: 980, valid ones: 980
Date: 20180615, number of symbols: 1316, valid ones: 1316
Date: 20180618, number of symbols: 1315, valid ones: 1315
Date: 20180619, number of symbols: 1314, valid ones: 1314
Date: 20180620, number of symbols: 1314, valid ones: 1313
Date: 20180621, number of symbols: 1314, valid ones: 1314
Date: 20180622, number of symbols: 1314, valid ones: 1314
Date: 20180625, number of symbols: 1313, valid ones: 1313
Date: 20180626, number of symbols: 1313, valid ones: 1313
Date: 20180627, number of symbols: 1313, valid ones: 1313
Date: 20180628, number of symbols: 1313, valid ones: 1313
Date: 20180629, number of symbols: 1313, valid ones: 1313
Date: 20180702, number of symbols: 1313, valid ones: 1313
Date: 20180703, number of symbols: 1313, valid ones: 1313
Date: 20180705, number of symbols: 1313, valid ones: 1313
Date: 20180706, number of symbols: 1313, valid ones: 1313
Date: 20180709, number of symbols: 1313, valid ones: 1313
Date: 20180710, number of symbols: 1312, valid ones: 1310
Date: 20180711, number of symbols: 1312, valid ones: 1312
Date: 20180712, number of symbols: 1312, valid ones: 1290
Date: 20180713, number of symbols: 1312, valid ones: 1312
Date: 20180716, number of symbols: 1310, valid ones: 1310
Date: 20180717, number of symbols: 1310, valid ones: 1310
Date: 20180718, number of symbols: 1310, valid ones: 1310
Date: 20180719, number of symbols: 1309, valid ones: 1309
Date: 20180720, number of symbols: 1309, valid ones: 1252
Date: 20180723, number of symbols: 1309, valid ones: 1308
Date: 20180724, number of symbols: 1309, valid ones: 1309
Date: 20180725, number of symbols: 0, valid ones: 0
Date: 20180726, number of symbols: 1309, valid ones: 1309
